title,description,category,resolution,priority,request_type
node taint case,ongoing node taint unstable; pod restart intermittent after the upgrade; node taint unstable,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node alert,monitoring flagged kubernetes node recurring; host reboot failing after the upgrade; kubernetes node recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic case,kernel panic unresponsive; memory exhaustion stalling at multiple sites; kernel panic flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot fault,we are seeing host reboot degraded; memory exhaustion recurring after the upgrade; host reboot stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup alert,users report cgroup unresponsive; node taint failing in one department; cgroup intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup report,cgroup unstable; pod restart unstable in production; cgroup failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
hypervisor report,escalated because hypervisor unresponsive; host reboot stalling across several users; hypervisor recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion fault,escalated because memory exhaustion unstable; cpu utilization unstable for the team; memory exhaustion failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion case,noticed that memory exhaustion erratic; host reboot recurring during the night shift; memory exhaustion recurring,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot ticket,we are seeing host reboot intermittent; cgroup degraded for the team; host reboot stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot request,users report host reboot intermittent; kubernetes node flapping after the upgrade; host reboot intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic issue,escalated because kernel panic flapping; pod restart unstable in one department; kernel panic intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kubernetes node alert,ongoing kubernetes node erratic; virtual machine intermittent at multiple sites; kubernetes node stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine issue,monitoring flagged virtual machine recurring; oom killer failing for the team; virtual machine unresponsive,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart report,ongoing pod restart unstable; node taint stalling in one department; pod restart intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup alert,users report cgroup recurring; kernel panic delayed during the night shift; cgroup intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
load average request,escalated because load average intermittent; pod restart recurring in a branch office; load average erratic,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cpu utilization case,tracking cpu utilization intermittent; kubernetes node intermittent at multiple sites; cpu utilization stalling,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
kernel panic fault,kernel panic failing; oom killer flapping after the upgrade; kernel panic failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint issue,escalated because node taint flapping; load average delayed for the team; node taint flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
pod restart alert,tracking pod restart degraded; node taint delayed at multiple sites; pod restart failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer ticket,escalated because oom killer intermittent; virtual machine degraded in a branch office; oom killer failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer request,escalated because oom killer recurring; pod restart recurring after the upgrade; oom killer failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer alert,users report oom killer stalling; kubernetes node erratic during the night shift; oom killer failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
node taint fault,ongoing node taint failing; virtual machine unresponsive at multiple sites; node taint flapping,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
cgroup fault,noticed that cgroup stalling; memory exhaustion failing across several users; cgroup delayed,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
memory exhaustion ticket,noticed that memory exhaustion erratic; kubernetes node recurring in production; memory exhaustion failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
oom killer fault,monitoring flagged oom killer degraded; cgroup delayed in production; oom killer intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
host reboot issue,we are seeing host reboot erratic; load average recurring in production; host reboot intermittent,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine fault,users report virtual machine flapping; hypervisor unresponsive in production; virtual machine failing,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
virtual machine report,escalated because virtual machine delayed; pod restart delayed in a branch office; virtual machine degraded,Infrastructure,Inspected resource usage; restarted the affected host/pod and confirmed stability.,Medium,Incident
